event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
EQ,green,utilities,car_t1,38,-0.00078,0.5549,False
EQ,green,utilities,car_t3,38,-0.00185,0.4825,False
EQ,green,utilities,car_t5,38,-0.00337,0.316,False
EQ,orange_or_red,agriculture,car_t1,59,-0.00237,0.0267,True
EQ,orange_or_red,agriculture,car_t3,59,0.00118,0.5253,False
EQ,orange_or_red,agriculture,car_t5,59,-0.00338,0.2352,False
EQ,orange_or_red,automotive,car_t1,13,0.00249,0.2379,False
EQ,orange_or_red,automotive,car_t3,13,0.00733,0.1962,False
EQ,orange_or_red,automotive,car_t5,13,0.00794,0.2978,False
EQ,orange_or_red,coal,car_t1,6,0.00203,0.551,False
EQ,orange_or_red,coal,car_t3,6,-0.0053,0.6342,False
EQ,orange_or_red,coal,car_t5,6,-0.01207,0.2184,False
EQ,orange_or_red,construction,car_t1,49,0.00026,0.8786,False
EQ,orange_or_red,construction,car_t3,49,0.00405,0.3176,False
EQ,orange_or_red,construction,car_t5,49,0.00666,0.1786,False
EQ,orange_or_red,copper_mining,car_t1,1,-0.00031,,
EQ,orange_or_red,copper_mining,car_t3,1,-0.0063,,
EQ,orange_or_red,copper_mining,car_t5,1,0.02817,,
EQ,orange_or_red,electronics,car_t1,9,0.00292,0.5478,False
EQ,orange_or_red,electronics,car_t3,9,0.00012,0.9856,False
EQ,orange_or_red,electronics,car_t5,9,-0.00023,0.9885,False
EQ,orange_or_red,energy,car_t1,22,-0.00149,0.5935,False
EQ,orange_or_red,energy,car_t3,22,-0.00492,0.296,False
EQ,orange_or_red,energy,car_t5,22,-0.00489,0.4834,False
EQ,orange_or_red,gas,car_t1,1,0.00639,,
EQ,orange_or_red,gas,car_t3,1,-0.00923,,
EQ,orange_or_red,gas,car_t5,1,-0.02828,,
EQ,orange_or_red,hydropower,car_t1,2,-0.00768,,
EQ,orange_or_red,hydropower,car_t3,2,-0.00526,,
EQ,orange_or_red,hydropower,car_t5,2,0.01922,,
EQ,orange_or_red,infrastructure,car_t1,4,-0.00599,0.1959,False
EQ,orange_or_red,infrastructure,car_t3,4,-0.00407,0.8597,False
EQ,orange_or_red,infrastructure,car_t5,4,-0.00338,0.8828,False
EQ,orange_or_red,insurance,car_t1,114,0.00052,0.5371,False
EQ,orange_or_red,insurance,car_t3,114,-0.00098,0.5647,False
EQ,orange_or_red,insurance,car_t5,114,-0.00433,0.1191,False
EQ,orange_or_red,mining,car_t1,9,-0.00709,0.0453,True
EQ,orange_or_red,mining,car_t3,9,-0.00697,0.1167,False
EQ,orange_or_red,mining,car_t5,9,-0.00807,0.171,False
EQ,orange_or_red,oil,car_t1,3,-0.00058,0.6715,False
EQ,orange_or_red,oil,car_t3,3,-0.01046,0.2528,False
EQ,orange_or_red,oil,car_t5,3,-0.01426,0.0758,False
EQ,orange_or_red,palm_oil,car_t1,1,-0.00457,,
EQ,orange_or_red,palm_oil,car_t3,1,0.0135,,
EQ,orange_or_red,palm_oil,car_t5,1,0.02284,,
EQ,orange_or_red,power,car_t1,4,-0.00343,0.5331,False
EQ,orange_or_red,power,car_t3,4,-0.00543,0.7261,False
EQ,orange_or_red,power,car_t5,4,0.02294,0.3408,False
EQ,orange_or_red,textiles,car_t1,4,0.00073,0.929,False
EQ,orange_or_red,textiles,car_t3,4,0.01691,0.2112,False
EQ,orange_or_red,textiles,car_t5,4,0.0133,0.2019,False
EQ,orange_or_red,timber,car_t1,2,-0.00416,,
EQ,orange_or_red,timber,car_t3,2,-0.00798,,
EQ,orange_or_red,timber,car_t5,2,0.00596,,
EQ,orange_or_red,tourism,car_t1,23,-0.0011,0.8105,False
EQ,orange_or_red,tourism,car_t3,23,0.0033,0.5616,False
EQ,orange_or_red,tourism,car_t5,23,0.00093,0.9071,False
EQ,orange_or_red,utilities,car_t1,25,0.00201,0.3532,False
EQ,orange_or_red,utilities,car_t3,25,0.00199,0.6513,False
EQ,orange_or_red,utilities,car_t5,25,-0.00257,0.6287,False
FL,green,aerospace,car_t1,1,0.01274,,
FL,green,aerospace,car_t3,1,0.01513,,
FL,green,aerospace,car_t5,1,0.03423,,
FL,green,agriculture,car_t1,265,-0.00069,0.1087,False
FL,green,agriculture,car_t3,265,-0.00165,0.0529,False
FL,green,agriculture,car_t5,265,-0.00274,0.0102,True
FL,green,automotive,car_t1,2,0.01146,,
FL,green,automotive,car_t3,2,-0.00471,,
FL,green,automotive,car_t5,2,-0.00943,,
FL,green,chemicals,car_t1,1,-0.01377,,
FL,green,chemicals,car_t3,1,-0.0056,,
FL,green,chemicals,car_t5,1,0.00244,,
FL,green,coal,car_t1,4,0.00061,0.8431,False
FL,green,coal,car_t3,4,0.00832,0.2577,False
FL,green,coal,car_t5,4,-0.00178,0.7641,False
FL,green,construction,car_t1,259,-0.00241,0.0056,True
FL,green,construction,car_t3,259,-0.00214,0.1787,False
FL,green,construction,car_t5,259,-0.00405,0.0537,False
FL,green,energy,car_t1,80,0.00021,0.8892,False
FL,green,energy,car_t3,80,0.00016,0.951,False
FL,green,energy,car_t5,80,0.00039,0.9096,False
FL,green,financial,car_t1,15,-0.00322,0.045,True
FL,green,financial,car_t3,15,-0.00411,0.201,False
FL,green,financial,car_t5,15,-0.00272,0.5174,False
FL,green,infrastructure,car_t1,14,-0.00626,0.1262,False
FL,green,infrastructure,car_t3,14,-0.00613,0.1617,False
FL,green,infrastructure,car_t5,14,-0.00627,0.1309,False
FL,green,insurance,car_t1,267,-0.00112,0.0304,True
FL,green,insurance,car_t3,267,-0.0021,0.0243,True
FL,green,insurance,car_t5,267,-0.00223,0.0684,False
FL,green,mining,car_t1,30,0.00302,0.2254,False
FL,green,mining,car_t3,30,0.00688,0.1404,False
FL,green,mining,car_t5,30,0.01023,0.0742,False
FL,green,oil,car_t1,12,0.00168,0.5042,False
FL,green,oil,car_t3,12,0.0056,0.3227,False
FL,green,oil,car_t5,12,0.00977,0.2132,False
