event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,sector
FL_0000,IAK,2024-01-02,0.0012010621729311262,0.010133620280584083,0.001364944027322827,0.374893,0.000102,33.0,,insurance
FL_0000,MOO,2024-01-02,0.003940259025222258,0.008642954811460195,-0.004324121343534411,1.350328,-0.002548,33.0,,agriculture
FL_0000,XHB,2024-01-02,-0.015113369524519787,-0.012629216878525399,-0.011927696220769123,1.80052,0.001759,33.0,,construction
FL_0000,XLU,2024-01-02,0.017495517970350684,0.024211084105669026,0.01905765322642926,1.363726,-0.002912,33.0,,utilities
FL_0000,XLF,2024-01-02,-0.001464181354840684,0.00565239187431884,-0.002803670954643826,0.9683,0.000661,33.0,,financial
FL_0000,JETS,2024-01-02,-0.030231954411282368,0.007247309461852716,0.0050984675295664104,1.453842,0.002072,33.0,,tourism
FL_0001,IAK,2024-01-13,0.0008721307002287599,0.01850031956367963,0.019922770150275,0.210026,0.001426,35.0,,insurance
FL_0001,MOO,2024-01-13,0.0007354686588376645,-0.017720229644412222,-0.03311416487352009,1.305943,-0.000668,35.0,,agriculture
FL_0001,XHB,2024-01-13,0.007814202250215285,-0.0009078659504087507,-0.023730814735663165,1.590363,0.001418,35.0,,construction
FL_0001,XLU,2024-01-13,-0.009649173090539084,-0.03588652588267631,-0.04268203740656019,0.709491,0.000467,35.0,,utilities
FL_0001,XLF,2024-01-13,0.0036869947822951907,0.0011705266723454448,0.0011851168171675168,0.916547,0.001482,35.0,,financial
FL_0002,IAK,2024-01-31,-0.020259830345605745,-0.013503154983296455,-0.013581965319860969,0.378902,0.001165,33.0,,insurance
FL_0002,MOO,2024-01-31,0.010178574546473125,-0.00013721598392340759,-0.003506869414463926,1.146167,-0.001897,33.0,,agriculture
FL_0002,XHB,2024-01-31,0.006442569615087247,-0.007772246703634289,-0.0045582371110845545,1.436519,0.000743,33.0,,construction
FL_0002,XLU,2024-01-31,0.011864369395755832,-0.023511455670041065,-0.02310712740809833,0.727838,-0.002006,33.0,,utilities
FL_0002,XLF,2024-01-31,-0.009935541102181665,-0.012936480108838314,-0.014104323663454005,0.886962,0.000512,33.0,,financial
FL_0003,IAK,2024-03-21,-0.006151127562044429,-0.001796925429346442,0.008558242282527858,0.272024,0.001668,36.0,,insurance
FL_0003,MOO,2024-03-21,-0.004610122758913462,-0.002682718144926306,0.011829250531403535,1.007433,-0.000956,36.0,,agriculture
FL_0003,XHB,2024-03-21,-0.003877745218329526,-0.007226500671858375,0.0031216787135876292,1.435529,-4.6e-05,36.0,,construction
FL_0003,XLU,2024-03-21,0.0017051028252196248,-0.00501834085495397,0.02510987320823031,0.410588,0.000677,36.0,,utilities
FL_0003,XLF,2024-03-21,-0.011398311616820644,-0.012362892284863983,-0.0012431770684456075,0.537913,0.001149,36.0,,financial
FL_0004,IAK,2024-04-01,-0.004717111632698083,-0.013918329184604259,-0.014126298333509014,0.366338,0.002087,34.0,,insurance
FL_0004,MOO,2024-04-01,0.002594444972671339,0.019997460746238586,0.011690119585515288,0.903517,-0.00086,34.0,,agriculture
FL_0004,XHB,2024-04-01,-0.014116424275782573,-0.013589415016533855,-0.01787227629191261,1.425852,0.001659,34.0,,construction
FL_0004,XLU,2024-04-01,0.0034680132345922283,-0.0003163522284856963,0.0055701240860391125,0.329522,0.000172,34.0,,utilities
FL_0004,XLF,2024-04-01,-0.002841543029468278,-0.012372679456854965,-0.007177301372299811,0.615154,0.001226,34.0,,financial
FL_0005,IAK,2024-04-09,-0.00045988855125122814,-0.023697972854021115,-0.022466482622304742,0.40429,0.002014,34.0,,insurance
FL_0005,MOO,2024-04-09,-0.0001286142970357302,-0.02812395382935684,-0.030497113014767256,0.968246,5.1e-05,34.0,,agriculture
FL_0005,XHB,2024-04-09,-0.021978423549749975,-0.011460709709263116,-0.01765421111714663,1.486616,0.001238,34.0,,construction
FL_0005,XLU,2024-04-09,-0.014812684041002808,-0.024725912472918422,-0.0454339004540438,0.394323,0.002052,34.0,,utilities
FL_0005,XLF,2024-04-09,-0.00871058299646833,-0.025360633997284297,-0.02973855970924874,0.663398,0.00127,34.0,,financial
FL_0006,IAK,2024-05-28,-0.004797318888172054,0.022326643631179904,0.004409945448548815,0.042507,0.000227,34.0,,insurance
FL_0006,MOO,2024-05-28,-0.01198528215291094,0.0045735277573653,-0.0037517378490046945,0.811854,-0.000587,34.0,,agriculture
FL_0006,XHB,2024-05-28,0.0028363774927292005,0.02988354962804047,-0.0009159022051146749,1.550794,-0.001745,34.0,,construction
FL_0006,XLU,2024-05-28,-0.011032893317399737,0.012324957038456872,-0.005370587855473294,0.46086,0.002754,34.0,,utilities
FL_0006,XLF,2024-05-28,-0.001635169792210324,0.015439534272874627,0.00410740214986608,0.634515,3.3e-05,34.0,,financial
FL_0007,IAK,2024-08-18,-0.0053786438251810145,0.005041706529016828,0.010010206619275127,0.508507,0.001106,35.0,,insurance
FL_0007,MOO,2024-08-18,-0.008479914429745203,-0.007811371401200706,0.007733024694085323,0.487122,0.000132,35.0,,agriculture
FL_0007,XHB,2024-08-18,-0.005620783013182415,0.018148094507299012,0.03508912592571751,1.184845,0.001976,35.0,,construction
FL_0007,XLU,2024-08-18,-0.003336112864513352,-0.000488491877591082,0.002271845083978427,0.278274,0.001895,35.0,,utilities
FL_0007,XLF,2024-08-18,-0.002442025194945711,0.0014666067270488765,0.003649719564140245,0.748113,0.001129,35.0,,financial
FL_0008,IAK,2024-09-24,-0.0013624894293551154,-0.010270185731257372,-0.006579229564613062,0.466929,0.001871,35.0,,insurance
FL_0008,MOO,2024-09-24,-0.012123971799384698,0.016271335957957284,0.019046857232895217,0.717785,-0.000592,35.0,,agriculture
FL_0008,XHB,2024-09-24,-0.009567550199198784,0.0039023575464461075,0.013046561990032207,1.258754,-0.000345,35.0,,construction
FL_0008,XLU,2024-09-24,0.003790000055024028,-0.0013612211534637826,0.007600188484598391,0.304036,0.002742,35.0,,utilities
FL_0008,XLF,2024-09-24,-0.003366189029571887,-0.002455006861568243,-0.00013227589582785358,0.721722,0.000394,35.0,,financial
FL_0008,JETS,2024-09-24,-0.003923315595298757,0.032300645570290755,0.025245026973463258,1.433126,-0.001044,35.0,,tourism
FL_0009,IAK,2024-11-30,-0.01291404958174681,-0.019324877011594504,-0.0520874522825842,1.016018,0.000851,37.0,,insurance
FL_0009,MOO,2024-11-30,-0.0006828531707915634,-0.01138267360140445,-0.005770255127767417,0.472433,-0.001695,37.0,,agriculture
FL_0009,XHB,2024-11-30,-0.0019630748375339814,-0.03315797560721209,-0.01858679601049496,0.831207,-0.001658,37.0,,construction
FL_0009,XLU,2024-11-30,-0.009012554283554467,-0.0070247727092185,-0.03220936383769023,0.129048,0.000117,37.0,,utilities
FL_0009,XLF,2024-11-30,-0.011957128819012846,-0.023980997602485933,-0.04201503875373645,1.024079,0.002609,37.0,,financial
FL_0010,IAK,2025-01-07,0.001253394670097148,-0.005915096001145431,0.012172740807532103,0.794148,-0.000683,33.0,,insurance
FL_0010,MOO,2025-01-07,-0.004216266990933841,0.034541143996198356,0.0337784399318999,0.806642,-0.001411,33.0,,agriculture
FL_0010,XHB,2025-01-07,0.01453205326649897,0.03645695226434927,0.06924961422981629,1.335996,-0.003282,33.0,,construction
FL_0010,XLU,2025-01-07,0.0004594696135444135,-0.0058959803687509875,0.011649779081419079,0.610839,-0.000774,33.0,,utilities
FL_0010,XLF,2025-01-07,0.0031165466577717724,-0.0011502842447830269,0.01990948565092617,0.852446,0.000116,33.0,,financial
FL_0011,IAK,2025-01-20,-0.007565030737413587,-0.00995904349281136,0.02080407074079752,0.828535,-0.002429,32.0,,insurance
FL_0011,MOO,2025-01-20,-0.003942802840473571,0.00580669109135496,0.02012713950849586,0.67051,-0.001574,32.0,,agriculture
FL_0011,XHB,2025-01-20,-0.0009919241200838742,-0.0037874868892998057,0.004719859462253905,1.218264,-0.003521,32.0,,construction
FL_0011,XLU,2025-01-20,-0.021826838213079226,-0.00600732917195782,-0.03672247557404078,0.515386,-0.001893,32.0,,utilities
FL_0011,XLF,2025-01-20,-0.007069366248316894,-0.0013084154612398287,0.0150391655542005,0.929277,-0.001054,32.0,,financial
FL_0012,IAK,2025-04-30,-0.013364465920767158,-0.004258975601907486,0.005416066535725945,0.797162,0.000193,35.0,,insurance
FL_0012,MOO,2025-04-30,-0.0029962926854720058,-0.007857971194630184,-0.012770416602857305,0.756769,0.001235,35.0,,agriculture
FL_0012,XHB,2025-04-30,0.0024765884019426108,0.005911124900766656,-0.0047102148507875575,0.819741,-0.000428,35.0,,construction
FL_0012,XLU,2025-04-30,0.000230569824217717,-0.0038397896478084823,0.012377010022970385,0.536958,0.00071,35.0,,utilities
FL_0012,XLF,2025-04-30,-0.0031963540670035887,-0.002609644065778302,0.003957830441330058,1.003841,-0.000691,35.0,,financial
EQ_0013,IAK,2023-12-26,-0.001161656503154826,0.004068670785942691,0.015500794134210249,0.270688,0.001196,34.0,,insurance
EQ_0013,XHB,2023-12-26,-0.003679423126345256,-0.012101808312415425,-0.024582919624567302,1.880646,0.001749,34.0,,construction
EQ_0013,XLU,2023-12-26,-0.0018063219692040155,0.011873405064114826,0.05757384464990365,1.343921,-0.002657,34.0,,automotive
EQ_0013,JETS,2023-12-26,-0.008825331220430131,-0.017596696700993925,-0.051233740680855205,1.523956,0.001881,34.0,,electronics
EQ_0013,MOO,2023-12-26,0.004989295787383145,0.013735560125589158,0.03426143244982244,1.332476,-0.003524,34.0,,utilities
EQ_0014,IAK,2024-01-01,0.0011972943258124074,0.010132338256284172,0.0013712821422464617,0.374235,0.000101,34.0,,insurance
EQ_0014,XHB,2024-01-01,-0.014969346705460716,-0.012585701126393624,-0.012171206474989243,1.825203,0.001811,34.0,,construction
EQ_0014,XLU,2024-01-01,0.01725568675605184,0.024138211155251575,0.01946295879944958,1.322578,-0.002999,34.0,,automotive
EQ_0014,XLE,2024-01-01,0.025913691006768196,0.0153163181284426,-0.012577746721332338,0.843111,-0.003048,34.0,,electronics
EQ_0015,IAK,2024-01-03,0.0045022993870373505,0.002938126561862927,-4.703681830804532e-05,0.367403,0.000345,33.0,,insurance
EQ_0015,XHB,2024-01-03,-0.0023922205936091957,-0.0042670820685311705,0.0010428675577247972,1.780803,0.002281,33.0,,construction
EQ_0015,XLU,2024-01-03,0.0011346883864948414,0.0001848597932597694,-0.00279933224712867,1.359355,-0.002746,33.0,,automotive
EQ_0015,MOO,2024-01-03,0.0024212291361570943,-0.0071837610827242835,-0.019393964238334404,1.332231,-0.002016,33.0,,electronics
EQ_0015,XLE,2024-01-03,-0.014296562714932117,-0.032390780835296215,-0.053779640234009725,0.936657,-0.002363,33.0,,utilities
EQ_0016,IAK,2024-01-05,-0.005512780826242323,-0.008489390834823161,-0.0014253889540786916,0.36811,0.00034,35.0,,insurance
EQ_0016,XHB,2024-01-05,-0.005358547987728068,0.00042960182045963247,-0.01289066557899644,1.771822,0.002042,35.0,,construction
EQ_0016,XLU,2024-01-05,-0.006242997345559925,-0.009236988565193786,-0.023748398699032048,1.362636,-0.002741,35.0,,automotive
EQ_0017,IAK,2024-03-14,0.007127450083802506,0.002995537795469797,0.0005015175474423722,0.389423,0.002027,35.0,,insurance
EQ_0017,XHB,2024-03-14,0.009307223485292573,0.012161767482822104,0.03611570495819442,1.36378,0.000488,35.0,,construction
EQ_0017,XLU,2024-03-14,0.004637990279620416,0.015680268294372964,0.010670848608999396,0.49625,-0.000694,35.0,,automotive
EQ_0018,IAK,2024-04-17,0.009803343334147643,0.03208075949775941,0.025027794726723666,0.359927,0.000701,34.0,,insurance
EQ_0018,XHB,2024-04-17,0.00031214646034128247,-0.004979144656776972,-0.00551799469811442,1.451786,0.000963,34.0,,construction
EQ_0018,XLU,2024-04-17,0.0034800900335174843,0.02281018290874983,0.02767051499137464,0.118712,0.002291,34.0,,automotive
EQ_0018,XLE,2024-04-17,-0.007411178642357418,0.002374395212738711,-9.907354191135333e-05,0.00595,0.004334,34.0,,electronics
EQ_0019,IAK,2024-06-03,-0.005888568049830737,-0.00772199496580652,-0.00642133608741044,0.047926,-0.000296,35.0,,insurance
EQ_0019,XHB,2024-06-03,-0.017354608142338468,-0.023528650265599603,-0.01865104662452917,1.553032,-0.001921,35.0,,construction
EQ_0019,XLU,2024-06-03,-0.0017034696637867812,-0.029107950825639044,-0.030217640926145355,0.575214,0.002062,35.0,,automotive
EQ_0020,IAK,2024-08-08,0.004904334186535298,-0.002713476003783443,0.017657770448381037,0.266666,0.001298,35.0,,insurance
EQ_0020,XHB,2024-08-08,-0.004650983279594339,-0.01612944001012695,-0.02978216219828578,1.141403,0.003291,35.0,,construction
EQ_0020,XLU,2024-08-08,0.0017321909330371653,0.004713985001318895,-0.001129527887330947,0.177417,0.000881,35.0,,automotive
EQ_0020,XLE,2024-08-08,0.0015179307779368838,-0.0041853685181287015,0.012838418423314759,-0.079117,0.001073,35.0,,electronics
EQ_0021,IAK,2024-09-24,-0.0013624894293551154,-0.010270185731257372,-0.006579229564613062,0.466929,0.001871,35.0,,insurance
EQ_0021,XHB,2024-09-24,-0.009567550199198784,0.0039023575464461075,0.013046561990032207,1.258754,-0.000345,35.0,,construction
EQ_0021,XLU,2024-09-24,0.003790000055024028,-0.0013612211534637826,0.007600188484598391,0.304036,0.002742,35.0,,automotive
EQ_0022,IAK,2025-01-13,0.017381087708249053,0.03234589880071754,0.01323761170003209,0.817609,-0.001071,32.0,,insurance
EQ_0022,XHB,2025-01-13,0.028787559257104474,0.04540735629481081,0.039533281132765954,1.230696,-0.003241,32.0,,construction
EQ_0022,XLU,2025-01-13,0.011730432616376282,0.04278124831221832,0.04898312663454765,0.55359,-0.000265,32.0,,automotive
EQ_0023,IAK,2025-01-13,0.017381087708249053,0.03234589880071754,0.01323761170003209,0.817609,-0.001071,32.0,,insurance
EQ_0023,XHB,2025-01-13,0.028787559257104474,0.04540735629481081,0.039533281132765954,1.230696,-0.003241,32.0,,construction
EQ_0023,XLU,2025-01-13,0.011730432616376282,0.04278124831221832,0.04898312663454765,0.55359,-0.000265,32.0,,automotive
EQ_0024,IAK,2025-05-31,-0.0009465528437354411,-0.012218862263457975,-0.024599120728273638,0.822468,-0.002212,36.0,,insurance
