event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
EQ,orange_or_red,utilities,car_t1,2,0.00801,,
EQ,orange_or_red,utilities,car_t3,2,0.01771,,
EQ,orange_or_red,utilities,car_t5,2,0.02674,,
FL,green,agriculture,car_t1,114,-0.00014,0.8163,False
FL,green,agriculture,car_t3,114,0.00014,0.8903,False
FL,green,agriculture,car_t5,114,0.00184,0.1796,False
FL,green,automotive,car_t1,1,-0.00378,,
FL,green,automotive,car_t3,1,-0.00534,,
FL,green,automotive,car_t5,1,-0.01779,,
FL,green,coal,car_t1,1,-0.01327,,
FL,green,coal,car_t3,1,-0.01996,,
FL,green,coal,car_t5,1,0.03553,,
FL,green,construction,car_t1,114,-0.00079,0.5774,False
FL,green,construction,car_t3,114,-0.0008,0.7224,False
FL,green,construction,car_t5,114,-0.00101,0.7257,False
FL,green,financial,car_t1,2,0.0004,,
FL,green,financial,car_t3,2,0.01342,,
FL,green,financial,car_t5,2,0.02063,,
FL,green,infrastructure,car_t1,1,-0.01007,,
FL,green,infrastructure,car_t3,1,-0.01214,,
FL,green,infrastructure,car_t5,1,-0.04982,,
FL,green,insurance,car_t1,114,0.00064,0.4712,False
FL,green,insurance,car_t3,114,4e-05,0.9818,False
FL,green,insurance,car_t5,114,0.00156,0.4632,False
FL,green,mining,car_t1,2,-0.01816,,
FL,green,mining,car_t3,2,-0.02112,,
FL,green,mining,car_t5,2,-0.04231,,
FL,green,palm_oil,car_t1,2,0.00241,,
FL,green,palm_oil,car_t3,2,0.01181,,
FL,green,palm_oil,car_t5,2,0.03181,,
FL,green,textiles,car_t1,2,-0.00883,,
FL,green,textiles,car_t3,2,0.00572,,
FL,green,textiles,car_t5,2,-0.00056,,
FL,green,timber,car_t1,1,-0.00492,,
FL,green,timber,car_t3,1,-0.01478,,
FL,green,timber,car_t5,1,-0.00936,,
FL,green,tourism,car_t1,4,-0.00562,0.2149,False
FL,green,tourism,car_t3,4,-0.00488,0.7266,False
FL,green,tourism,car_t5,4,0.00172,0.9092,False
FL,green,utilities,car_t1,4,0.00236,0.4245,False
FL,green,utilities,car_t3,4,0.00336,0.6505,False
FL,green,utilities,car_t5,4,-0.0012,0.8514,False
FL,orange_or_red,agriculture,car_t1,8,0.00012,0.9446,False
FL,orange_or_red,agriculture,car_t3,8,0.00096,0.7558,False
FL,orange_or_red,agriculture,car_t5,8,-0.00199,0.7372,False
FL,orange_or_red,construction,car_t1,8,0.00057,0.9192,False
FL,orange_or_red,construction,car_t3,8,-0.00278,0.7039,False
FL,orange_or_red,construction,car_t5,8,-0.00552,0.5411,False
FL,orange_or_red,infrastructure,car_t1,1,0.01209,,
FL,orange_or_red,infrastructure,car_t3,1,0.00304,,
FL,orange_or_red,infrastructure,car_t5,1,0.03303,,
FL,orange_or_red,insurance,car_t1,8,-0.00183,0.2928,False
FL,orange_or_red,insurance,car_t3,8,0.00239,0.6238,False
FL,orange_or_red,insurance,car_t5,8,8e-05,0.9903,False
FL,orange_or_red,mining,car_t1,3,0.01559,0.0055,True
FL,orange_or_red,mining,car_t3,3,0.01807,0.0808,False
FL,orange_or_red,mining,car_t5,3,0.03084,0.124,False
FL,orange_or_red,palm_oil,car_t1,3,0.00675,0.2058,False
FL,orange_or_red,palm_oil,car_t3,3,0.03499,0.0253,True
FL,orange_or_red,palm_oil,car_t5,3,0.03656,0.126,False
TC,green,agriculture,car_t1,55,-0.00056,0.5284,False
TC,green,agriculture,car_t3,55,-0.00175,0.275,False
TC,green,agriculture,car_t5,55,-0.00065,0.7499,False
TC,green,construction,car_t1,7,0.00193,0.8203,False
TC,green,construction,car_t3,7,-0.00623,0.5104,False
TC,green,construction,car_t5,7,-0.00358,0.6283,False
TC,green,energy,car_t1,55,-0.00124,0.4102,False
TC,green,energy,car_t3,55,-0.00113,0.6745,False
TC,green,energy,car_t5,55,0.00199,0.5783,False
TC,green,insurance,car_t1,55,0.00169,0.2008,False
TC,green,insurance,car_t3,55,0.00313,0.1403,False
TC,green,insurance,car_t5,55,0.00412,0.2243,False
TC,green,mining,car_t1,2,0.00404,,
TC,green,mining,car_t3,2,0.01609,,
TC,green,mining,car_t5,2,0.02077,,
TC,green,oil,car_t1,1,-0.00388,,
TC,green,oil,car_t3,1,0.02819,,
TC,green,oil,car_t5,1,-0.01486,,
TC,green,palm_oil,car_t1,2,-0.01085,,
TC,green,palm_oil,car_t3,2,-0.01458,,
TC,green,palm_oil,car_t5,2,-0.00397,,
TC,green,textiles,car_t1,5,-0.00118,0.6658,False
TC,green,textiles,car_t3,5,-0.00471,0.3878,False
TC,green,textiles,car_t5,5,-0.00479,0.5989,False
TC,green,tourism,car_t1,55,-0.0004,0.8502,False
TC,green,tourism,car_t3,55,0.00323,0.2476,False
TC,green,tourism,car_t5,55,0.00526,0.2119,False
TC,green,utilities,car_t1,6,-0.00475,0.1626,False
TC,green,utilities,car_t3,6,-0.00406,0.4703,False
TC,green,utilities,car_t5,6,-0.01036,0.1863,False
TC,orange_or_red,agriculture,car_t1,7,0.00192,0.4573,False
TC,orange_or_red,agriculture,car_t3,7,0.00564,0.3649,False
TC,orange_or_red,agriculture,car_t5,7,0.00503,0.5215,False
TC,orange_or_red,construction,car_t1,2,0.00997,,
TC,orange_or_red,construction,car_t3,2,0.00601,,
TC,orange_or_red,construction,car_t5,2,0.00657,,
TC,orange_or_red,energy,car_t1,7,0.00047,0.9301,False
TC,orange_or_red,energy,car_t3,7,0.01648,0.045,True
TC,orange_or_red,energy,car_t5,7,0.00844,0.2317,False
TC,orange_or_red,insurance,car_t1,7,0.00435,0.2038,False
TC,orange_or_red,insurance,car_t3,7,0.01017,0.0374,True
