event_id,event_type,event_date,primary_country,location_text,lat,lon,low_confidence,article_count,article_indices,rapidpopdescription,magnitude,depth,maximum_wind_speed_kmh,maximum_storm_surge_m,exposed_population,burned_area_ha,people_affected,duration_days,affected_area_km2,affected_country_count,dead,displaced,rapid_missing,rapid_few_people,rapid_unparsed,predicted_alert,prob_orange_or_red,severity_source,gdacs_alertlevel,country_iso2,country_name,key_industries,sector_etfs,sectors_from_kb,sectors_from_text
EQ_1204,EQ,2025-10-05,JP,Japan,,,False,2,"[24215, 24356]",,6.0,50.0,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.7461524512464119,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1205,EQ,2025-10-18,JP,Japan,,,False,2,"[24305, 24303]",,5.9,,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.7646675286415612,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1206,EQ,2025-11-09,JP,Japan,,,False,14,"[24838, 24851, 24934, 25013, 25101, 25211, 25273, 25316, 25360, 25404, 25434, 25530, 25564, 25234]",,6.9,20.0,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.8228072477506526,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1207,EQ,2025-11-09,JP,Yamada,,,False,1,[24911],,6.7,,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.8241797524803899,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1208,EQ,2025-11-25,JP,Japan,,,False,2,"[24822, 25696]",30 people,7.5,,,,,,,,,,,,0.0,0.0,0.0,orange_or_red,0.6335748939965931,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1209,EQ,2025-12-08,JP,Japan,,,False,77,"[25603, 25626, 25642, 25652, 25682, 25703, 25749, 25771, 25792, 25806, 25811, 25822, 25875, 25876, 25900, 25950, 25954, 25994, 25997, 26001, 26021, 26061, 26065, 26084, 26090, 26095, 26104, 26147, 26168, 26182, 26183, 26193, 26210, 26250, 26258, 26266, 26302, 26316, 26321, 25624, 25690, 25720, 25784, 25850, 25901, 25947, 25982, 26048, 26119, 26194, 26199, 26200, 26216, 26255, 26290, 26312, 25621, 25673, 25769, 25996, 26137, 25613, 25638, 25680, 25688, 25747, 25835, 25897, 25921, 25946, 25957, 25959, 26023, 26030, 26034, 26086, 26133]","100,000 people",8.0,31.0,,,,,100000.0,,,,,90000.0,1.0,0.0,0.0,orange_or_red,0.5477805131290572,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1210,EQ,2025-12-09,JP,Hokkaido,,,False,1,[25780],,7.5,,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.8233008120854345,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1211,EQ,2025-12-16,JP,Japan,,,False,3,"[25691, 25823, 25734]",,7.5,,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.8233008120854345,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
EQ_1212,EQ,2025-12-30,JP,Japan,,,False,1,[25797],,5.6,10.0,,,,,,,,,,,1.0,0.0,0.0,orange_or_red,0.6804444463037949,ml,,JP,Japan,"['insurance', 'construction', 'automotive', 'electronics', 'utilities']","['IAK', 'XHB', 'XLU']","['insurance', 'construction', 'automotive', 'electronics', 'utilities']",[]
FL_1213,FL,2025-03-01,PH,Manila,,,True,1,[25180],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1214,FL,2025-06-01,PH,Philippines,,,True,1,[21601],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1215,FL,2025-07-01,PH,Philippines,,,True,2,"[21796, 23399]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1216,FL,2025-08-22,PH,Bulacan,,,True,1,[22655],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1217,FL,2025-09-02,PH,Philippines,,,True,3,"[23123, 23605, 23698]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",['construction']
FL_1218,FL,2025-09-04,PH,Pasig City,,,True,1,[23103],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1219,FL,2025-09-18,PH,Philippines,,,True,3,"[22947, 23744, 25908]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1220,FL,2025-10-02,PH,Philippines,,,True,2,"[24652, 24415]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1221,FL,2025-11-01,PH,Manila,,,True,1,[25507],,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1222,FL,2025-11-04,PH,Cebu,,,True,2,"[24831, 25229]",,,,,,,,,,,,,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
FL_1223,FL,2025-11-04,PH,Philippines,,,False,4,"[24932, 24935, 25568, 25012]",,,,,,,,,,,,90.0,,,,,green,,ml,,PH,Philippines,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction', 'tourism', 'utilities']",[]
