event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,sector
EQ_0000,IAK,2025-07-20,0.015581540212410771,0.003097316321711758,-0.0011587356646796717,0.781989,-0.002566,34,,insurance
EQ_0000,XHB,2025-07-20,0.05191497707280993,0.026172450065780836,0.03945059781358987,1.464474,0.000204,34,,construction
EQ_0001,IAK,2025-07-28,0.01026342448336156,0.017125942304844988,0.022116244720142286,0.777071,-0.002417,34,,insurance
EQ_0001,XHB,2025-07-28,-0.007769902537368615,-0.027544257316273787,0.007510795254193504,1.569453,-0.00049,34,,construction
EQ_0002,IAK,2025-08-05,0.0103888026779556,0.005833442287411825,0.007520774494985157,0.763009,-0.003058,34,,insurance
EQ_0002,XHB,2025-08-05,-0.020487324933957864,-0.021219943043078733,-0.007450672150761686,1.7241,0.000823,34,,construction
EQ_0003,IAK,2025-09-13,-0.010859695187878349,-0.001941092751206114,-0.007457371909661345,0.539174,0.000488,37,,insurance
EQ_0003,XHB,2025-09-13,-0.005274559987197254,-0.020249644304177482,-0.06497938977447529,1.535669,0.003024,37,,construction
WF_0004,IAK,2024-11-01,-0.005063102291218897,0.03212967565027511,0.02830887222060608,0.598368,-3.2e-05,37,,insurance
WF_0004,XLU,2024-11-01,-0.013891938433765325,-0.015649371717326624,0.0004056859258967753,0.102729,0.001935,37,,utilities
WF_0004,WOOD,2024-11-01,0.00575304237308891,-0.004521873530949403,-0.022533965419254638,0.948087,-0.001008,37,,timber
WF_0005,IAK,2025-05-01,0.010041127205237557,0.016395768760209806,0.017257829434103773,0.789836,-9e-05,36,,insurance
WF_0005,XLU,2025-05-01,-0.0018045846480092744,0.010738273567292617,0.002055171558639015,0.534707,0.000623,36,,utilities
WF_0005,WOOD,2025-05-01,-0.009740246487892255,-0.020225244784515234,0.0014708804538904833,0.844156,-0.000854,36,,timber
WF_0005,MOO,2025-05-01,-0.0003082871197016279,-0.00675281042672882,-0.00033784914662799564,0.752206,0.001059,36,,oil
WF_0005,XME,2025-05-01,-0.002862221416429448,0.014126567314908698,0.0022463850169010978,1.187116,0.001335,36,,agriculture
WF_0006,IAK,2025-05-12,-0.007122386438146116,-0.00636249392420735,0.0025693750410128446,0.82735,-0.000381,35,,insurance
WF_0006,XLU,2025-05-12,-0.00483509821176183,0.0073727344163065905,0.020813500423677113,0.557312,0.000494,35,,utilities
