event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2025-02-09_MOO,MOO,2025-02-09,0.003911076057431651,-0.010694871364118369,0.001664590045328547,0.653155,0.00027,33,,random
RAND_2024-11-18_MOO,MOO,2024-11-18,-0.0011263527860887435,0.017554320796207928,0.03298708013624727,0.601761,-0.001823,36,,random
RAND_2025-02-02_XLU,XLU,2025-02-02,-0.01444477774208247,-0.010573135288504865,-0.0015064978107451913,0.635885,-0.000147,33,,random
RAND_2025-04-19_WOOD,WOOD,2025-04-19,0.0031211620884191126,-0.011507704081197032,-0.008488923644141201,0.827567,-0.001124,37,,random
RAND_2024-11-17_MOO,MOO,2024-11-17,-0.001491390743568163,0.01660509609498844,0.031181301012661224,0.684182,-0.001686,37,,random
RAND_2025-02-13_IAK,IAK,2025-02-13,-0.009773073430619585,9.997111084983443e-05,-0.005038541105911036,0.546934,6e-06,33,,random
RAND_2025-04-15_XHB,XHB,2025-04-15,-0.011043493109565889,-0.0022509715359192474,0.015449775957057484,0.632245,-0.00182,35,,random
RAND_2024-12-14_MOO,MOO,2024-12-14,-0.0038473326033664594,-0.02874167416436002,-0.021571793026220778,0.39474,-0.001149,37,,random
RAND_2024-11-14_XHB,XHB,2024-11-14,0.0014138020514382725,-0.005507106094448808,0.015311168633642512,0.957328,-0.001449,37,,random
RAND_2024-12-18_XLU,XLU,2024-12-18,0.005752551498666895,0.028576863931541126,0.03492974552140442,-0.083697,-0.001216,35,,random
RAND_2025-04-19_XHB,XHB,2025-04-19,0.02098544547895039,0.022813957317227178,0.013256040479373161,0.795252,-0.001356,37,,random
RAND_2025-02-09_XHB,XHB,2025-02-09,0.005134771942061692,-0.007205284577494732,-0.012332375516490423,1.150695,-0.002124,33,,random
RAND_2025-02-09_XHB,XHB,2025-02-09,0.005134771942061692,-0.007205284577494732,-0.012332375516490423,1.150695,-0.002124,33,,random
RAND_2025-02-14_IAK,IAK,2025-02-14,0.0037317675764329972,0.0058617724605949505,0.025334660343897968,0.549494,7e-05,34,,random
RAND_2025-02-14_XHB,XHB,2025-02-14,-0.014654681258834384,-0.022403915671382797,-0.029180881846087442,1.200109,-0.001786,34,,random
RAND_2025-04-13_XLU,XLU,2025-04-13,-0.0011532680600506405,0.005165467538728434,0.0034376002521654073,0.553661,0.000681,36,,random
RAND_2024-12-13_IAK,IAK,2024-12-13,-0.006276618476410317,-0.024470126672363167,-0.013018284351309847,0.670777,0.00059,37,,random
RAND_2025-02-04_MOO,MOO,2025-02-04,-0.015453325326791082,-0.030987969249819117,-0.02416216076148822,0.641309,0.000789,32,,random
RAND_2025-02-04_XHB,XHB,2025-02-04,0.006555605456273846,-0.011630490321037378,-0.003379170471749484,1.115964,-0.001324,32,,random
RAND_2024-12-21_IAK,IAK,2024-12-21,0.003227881405753582,0.00476078688431646,0.013059180426491818,0.745191,-0.000561,37,,random
RAND_2025-02-05_XHB,XHB,2025-02-05,-0.002217497032739713,-0.010933004819782165,-0.016947513857885805,1.066962,-0.002382,32,,random
RAND_2025-02-07_MOO,MOO,2025-02-07,0.0038197572787804796,-0.0021418989128046805,-0.0027149758112569884,0.633398,0.000465,34,,random
RAND_2025-06-14_MOO,MOO,2025-06-14,-0.0021751000321297486,-0.01596407458607688,-0.034391183641591536,0.613476,0.00109,36,,random
RAND_2025-02-02_IAK,IAK,2025-02-02,-0.006753898814251319,-0.0006082691663929496,-0.00912783530848539,0.782792,-0.001789,33,,random
RAND_2025-04-17_XHB,XHB,2025-04-17,-0.008841234407408693,0.0024440938187367915,0.0029487380122745818,0.780199,-0.00116,36,,random
RAND_2025-04-12_XHB,XHB,2025-04-12,-0.006967750866224882,6.42433156820485e-06,0.013271336786833475,0.6244,-0.001184,37,,random
RAND_2024-11-15_JETS,JETS,2024-11-15,-0.0312899017237844,-0.045829318926865634,-0.05397072879981479,1.239377,0.004514,38,,random
RAND_2025-06-15_JETS,JETS,2025-06-15,-0.014995125994138287,-0.013191112619366209,0.0003529385900326136,1.594083,0.000294,35,,random
RAND_2025-04-14_XHB,XHB,2025-04-14,-0.007199015635157007,-0.000725987915647236,0.012090807909548869,0.621421,-0.000951,35,,random
RAND_2025-04-15_IAK,IAK,2025-04-15,0.006158671366357693,-0.02051915721405717,-0.02199942221669178,0.86786,0.002896,35,,random
RAND_2025-02-02_IAK,IAK,2025-02-02,-0.006753898814251319,-0.0006082691663929496,-0.00912783530848539,0.782792,-0.001789,33,,random
RAND_2024-11-16_IAK,IAK,2024-11-16,-0.01113861017741977,0.00625580401115451,0.015057052115285631,0.787802,-0.00037,38,,random
RAND_2025-02-02_XHB,XHB,2025-02-02,-0.001057787751575067,0.00325089776583837,-0.005303791797304911,1.246171,-0.002462,33,,random
RAND_2024-11-18_XHB,XHB,2024-11-18,-0.0007653151244729114,0.021676021361507834,0.07963377984893533,0.799039,-0.001963,36,,random
RAND_2025-02-16_JETS,JETS,2025-02-16,-0.004277325813757895,-0.05339689481937986,-0.05472830766413124,0.21566,0.002221,33,,random
RAND_2025-04-17_WOOD,WOOD,2025-04-17,0.008756253025610145,0.004292266818659681,-0.01282146859522421,0.815701,-0.00097,36,,random
RAND_2025-02-05_WOOD,WOOD,2025-02-05,0.015606370139744568,-0.00354514338433145,-0.014078249133037152,0.902799,-0.000317,32,,random
RAND_2024-12-21_MOO,MOO,2024-12-21,-1.085968117248929e-05,0.004454816210338275,0.0044897858108999865,0.354508,-0.0008,37,,random
RAND_2024-12-19_BOAT,BOAT,2024-12-19,0.002489276211619872,0.05783818656610519,0.06020808735499391,0.137019,-0.003353,36,,random
RAND_2025-04-20_IAK,IAK,2025-04-20,0.015050028081527052,-0.0064306900510325195,-0.019199375313749337,0.745663,0.002453,36,,random
RAND_2025-04-16_XHB,XHB,2025-04-16,0.01940856178804041,0.03404621326928256,0.04093013549681623,0.671341,-0.002011,35,,random
RAND_2025-04-12_IAK,IAK,2025-04-12,-0.008471608868812232,-0.0123027469786555,-0.016337198154964847,0.847072,0.002674,37,,random
