eventid,eventtype,alertlevel,country,fromdate,todate,magnitude,depth,rapidpopdescription,maximum_wind_speed_kmh,maximum_storm_surge_m,exposed_population,duration_days,burned_area_ha,people_affected,affected_area_km2,affected_country_count,severity_level,severity_text
1533969,EQ,green,Tonga,2026-04-07T05:55:15,2026-04-07T05:55:15,4.6,204.2,Few people affected in MMI -,,,,,,,,,,
1533954,EQ,green,Northern Molucca Sea,2026-04-07T03:43:09,2026-04-07T03:43:09,4.8,46.6,,,,,,,,,,,
1533908,EQ,green,West Chile Rise,2026-04-06T23:58:37,2026-04-06T23:58:37,4.7,10.0,,,,,,,,,,,
1533805,EQ,green,Japan,2026-04-06T13:14:51,2026-04-06T13:14:51,4.6,10.0,20 thousand in MMI II,,,,,,,,,,
1533807,EQ,green,South Sandwich Islands Region,2026-04-06T13:09:29,2026-04-06T13:09:29,4.9,10.0,,,,,,,,,,,
1533793,EQ,green,Pacific-Antarctic Ridge,2026-04-06T11:18:37,2026-04-06T11:18:37,5.6,10.0,,,,,,,,,,,
1533767,EQ,green,Papua New Guinea,2026-04-06T08:27:49,2026-04-06T08:27:49,4.8,109.9,30 thousand in MMI III,,,,,,,,,,
1533764,EQ,green,Vanuatu,2026-04-06T08:19:52,2026-04-06T08:19:52,4.5,162.9,90 thousand in MMI III,,,,,,,,,,
1533757,EQ,green,Philippines,2026-04-06T07:22:42,2026-04-06T07:22:42,5.2,10.0,20 thousand in MMI VI,,,,,,,,,,
1533752,EQ,green,"Southeast Of Shikoku, Japan",2026-04-06T06:45:10,2026-04-06T06:45:10,4.9,10.0,,,,,,,,,,,
1533748,EQ,green,South Of Kermadec Islands,2026-04-06T06:15:25,2026-04-06T06:15:25,5.2,10.0,,,,,,,,,,,
1533739,EQ,green,Indonesia,2026-04-06T05:32:11,2026-04-06T05:32:11,4.9,35.0,20 thousand in MMI III,,,,,,,,,,
1533728,EQ,green,Greece,2026-04-06T04:20:50,2026-04-06T04:20:50,4.6,10.0,20 thousand in MMI V,,,,,,,,,,
1533703,EQ,green,Indonesia,2026-04-06T01:56:46,2026-04-06T01:56:46,4.8,35.0,1 thousand in MMI>=II,,,,,,,,,,
1533686,EQ,green,Kermadec Islands Region,2026-04-06T00:42:27,2026-04-06T00:42:27,5.4,10.0,,,,,,,,,,,
1533666,EQ,green,Argentina,2026-04-05T22:56:06,2026-04-05T22:56:06,4.5,242.4,100 thousand in MMI I,,,,,,,,,,
1533659,EQ,green,Indonesia,2026-04-05T22:18:02,2026-04-05T22:18:02,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1533638,EQ,green,Indonesia,2026-04-05T18:55:03,2026-04-05T18:55:03,4.5,35.0,260 thousand in MMI II,,,,,,,,,,
1533633,EQ,green,Argentina,2026-04-05T17:44:49,2026-04-05T17:44:49,4.5,535.7,530 thousand in MMI I,,,,,,,,,,
1533622,EQ,green,South Of Kermadec Islands,2026-04-05T17:19:51,2026-04-05T17:19:51,5.3,10.0,,,,,,,,,,,
1533621,EQ,green,Kermadec Islands Region,2026-04-05T17:10:41,2026-04-05T17:10:41,5.1,35.0,,,,,,,,,,,
1533608,EQ,green,Taiwan,2026-04-05T15:34:01,2026-04-05T15:34:01,4.6,135.2,5 thousand in MMI III,,,,,,,,,,
1533584,EQ,green,China,2026-04-05T13:24:30,2026-04-05T13:24:30,4.9,10.0,20 thousand in MMI>=IV,,,,,,,,,,
1533580,EQ,green,South Of Kermadec Islands,2026-04-05T13:22:15,2026-04-05T13:22:15,5.5,10.0,,,,,,,,,,,
1533556,EQ,green,Southern Molucca Sea,2026-04-05T11:09:14,2026-04-05T11:09:14,4.6,36.6,,,,,,,,,,,
1533540,EQ,green,"Andreanof Islands, Aleutian Is.",2026-04-05T09:19:38,2026-04-05T09:19:38,4.6,35.0,,,,,,,,,,,
1533472,EQ,green,China,2026-04-05T02:21:53,2026-04-05T02:21:53,4.6,10.0,130 thousand in MMI>=IV,,,,,,,,,,
1533470,EQ,green,Japan,2026-04-05T02:18:02,2026-04-05T02:18:02,5.1,10.0,Few people affected in MMI -,,,,,,,,,,
1533444,EQ,green,Indonesia,2026-04-05T01:12:14,2026-04-05T01:12:14,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1533420,EQ,green,Indonesia,2026-04-04T22:37:50,2026-04-04T22:37:50,4.5,35.0,360 thousand in MMI II,,,,,,,,,,
1533422,EQ,green,Kermadec Islands Region,2026-04-04T22:31:20,2026-04-04T22:31:20,5.0,30.9,,,,,,,,,,,
1533396,EQ,green,Indonesia,2026-04-04T20:16:26,2026-04-04T20:16:26,4.8,57.9,390 thousand in MMI III,,,,,,,,,,
1533398,EQ,green,Northern Molucca Sea,2026-04-04T20:11:27,2026-04-04T20:11:27,4.6,35.0,,,,,,,,,,,
1533386,EQ,green,Indonesia,2026-04-04T18:59:13,2026-04-04T18:59:13,4.7,27.8,3 thousand in MMI III,,,,,,,,,,
1533376,EQ,green,Australia,2026-04-04T18:26:13,2026-04-04T18:26:13,5.5,10.0,Few people affected (in MMI>=VII),,,,,,,,,,
1533366,EQ,green,Taiwan,2026-04-04T17:14:57,2026-04-04T17:14:57,5.5,22.1,210 thousand in MMI VI,,,,,,,,,,
1533363,EQ,green,Off Coast Of Central America,2026-04-04T16:37:22,2026-04-04T16:37:22,4.6,10.0,,,,,,,,,,,
1533357,EQ,green,Papua New Guinea,2026-04-04T16:23:07,2026-04-04T16:23:07,5.2,103.4,30 thousand in MMI IV,,,,,,,,,,
1533361,EQ,green,Japan,2026-04-04T16:14:13,2026-04-04T16:14:13,4.6,42.3,40 thousand in MMI III,,,,,,,,,,
1533352,EQ,green,Chile,2026-04-04T15:48:37,2026-04-04T15:48:37,4.5,115.0,4 thousand in MMI III,,,,,,,,,,
1533302,EQ,green,Ecuador,2026-04-04T12:23:28,2026-04-04T12:23:28,4.9,46.7,30 thousand in MMI IV,,,,,,,,,,
1533291,EQ,green,Indonesia,2026-04-04T11:21:12,2026-04-04T11:21:12,5.2,40.8,1 thousand in MMI IV,,,,,,,,,,
1533280,EQ,green,Papua New Guinea,2026-04-04T10:48:43,2026-04-04T10:48:43,4.9,71.2,190 thousand in MMI IV,,,,,,,,,,
1533279,EQ,green,Japan,2026-04-04T10:36:46,2026-04-04T10:36:46,5.0,68.0,440 thousand in MMI IV,,,,,,,,,,
1533278,EQ,green,Philippines,2026-04-04T10:34:31,2026-04-04T10:34:31,6.0,99.6,280 thousand in MMI IV,,,,,,,,,,
1533263,EQ,green,"Rat Islands, Aleutian Islands",2026-04-04T09:39:52,2026-04-04T09:39:52,4.5,40.7,,,,,,,,,,,
1533259,EQ,green,Chile,2026-04-04T09:22:35,2026-04-04T09:22:35,4.8,56.0,230 thousand in MMI III,,,,,,,,,,
1533247,EQ,green,Tonga,2026-04-04T08:33:48,2026-04-04T08:33:48,4.6,90.8,20 thousand in MMI III,,,,,,,,,,
1533243,EQ,green,"Off E. Coast Of N. Island, N.Z.",2026-04-04T08:12:51,2026-04-04T08:12:51,5.0,10.0,,,,,,,,,,,
1533203,EQ,green,Türkiye,2026-04-04T05:52:42,2026-04-04T05:52:42,5.1,6.3,,,,,,,,,,,
1533187,EQ,green,Mid-Indian Ridge,2026-04-04T04:55:32,2026-04-04T04:55:32,5.5,10.0,,,,,,,,,,,
1533164,EQ,green,Northern Molucca Sea,2026-04-04T02:53:11,2026-04-04T02:53:11,4.9,49.7,,,,,,,,,,,
1533130,EQ,green,Indonesia,2026-04-04T01:35:00,2026-04-04T01:35:00,5.9,48.7,,,,,,,,,,,
1533101,EQ,green,Indonesia,2026-04-03T22:49:49,2026-04-03T22:49:49,4.7,35.0,Few people affected in MMI -,,,,,,,,,,
1533097,EQ,green,Indonesia,2026-04-03T22:33:00,2026-04-03T22:33:00,4.5,35.0,Few people affected in MMI -,,,,,,,,,,
1533079,EQ,green,Indonesia,2026-04-03T21:19:06,2026-04-03T21:19:06,5.1,35.0,4 thousand in MMI III,,,,,,,,,,
1533026,EQ,green,Afghanistan,2026-04-03T16:12:58,2026-04-03T16:12:58,5.8,186.4,1.1 million in MMI IV,,,,,,,,,,
1532993,EQ,green,United States,2026-04-03T14:07:35,2026-04-03T14:07:35,4.6,35.0,,,,,,,,,,,
1532960,EQ,green,Indonesia,2026-04-03T10:59:07,2026-04-03T10:59:07,5.1,35.0,30 thousand in MMI III,,,,,,,,,,
1532953,EQ,green,Tajikistan,2026-04-03T10:26:42,2026-04-03T10:26:42,5.5,10.0,2 thousand in MMI VI,,,,,,,,,,
1532940,EQ,green,Indonesia,2026-04-03T09:24:07,2026-04-03T09:24:07,4.9,35.0,6 thousand in MMI III,,,,,,,,,,
1532925,EQ,green,United States,2026-04-03T08:22:08,2026-04-03T08:22:08,5.1,10.0,,,,,,,,,,,
1532914,EQ,green,Russian Federation,2026-04-03T07:06:45,2026-04-03T07:06:45,4.5,61.1,200 thousand in MMI III,,,,,,,,,,
1532875,EQ,green,Indonesia,2026-04-03T04:55:45,2026-04-03T04:55:45,4.5,35.0,60 thousand in MMI II,,,,,,,,,,
1532870,EQ,green,Indonesia,2026-04-03T04:42:05,2026-04-03T04:42:05,5.2,35.0,40 thousand in MMI III,,,,,,,,,,
1532856,EQ,green,Indonesia,2026-04-03T03:37:16,2026-04-03T03:37:16,5.4,35.0,7 thousand in MMI III,,,,,,,,,,
1532845,EQ,green,Tonga Islands,2026-04-03T02:50:12,2026-04-03T02:50:12,4.8,151.0,,,,,,,,,,,
1532838,EQ,green,Kermadec Islands Region,2026-04-03T02:33:49,2026-04-03T02:33:49,5.0,217.3,,,,,,,,,,,
1532842,EQ,green,Northern Molucca Sea,2026-04-03T02:28:42,2026-04-03T02:28:42,4.9,35.0,,,,,,,,,,,
1532833,EQ,green,Indonesia,2026-04-03T02:23:49,2026-04-03T02:23:49,4.6,35.0,Few people affected in MMI>=II,,,,,,,,,,
1532835,EQ,green,Russia,2026-04-03T02:10:53,2026-04-03T02:10:53,5.1,35.0,Few people affected in MMI -,,,,,,,,,,
1532848,EQ,green,Indonesia,2026-04-03T02:05:54,2026-04-03T02:05:54,4.8,35.0,2 thousand in MMI III,,,,,,,,,,
1532831,EQ,green,Indonesia,2026-04-03T01:57:59,2026-04-03T01:57:59,4.7,35.0,Few people affected in MMI -,,,,,,,,,,
1532816,EQ,green,Indonesia,2026-04-03T01:44:13,2026-04-03T01:44:13,5.3,35.0,Few people affected in MMI -,,,,,,,,,,
1532806,EQ,green,Indonesia,2026-04-03T01:02:39,2026-04-03T01:02:39,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1532796,EQ,green,Indonesia,2026-04-03T00:32:57,2026-04-03T00:32:57,5.3,35.0,Few people affected in MMI -,,,,,,,,,,
1532793,EQ,green,Indonesia,2026-04-03T00:22:20,2026-04-03T00:22:20,5.4,35.0,70 thousand in MMI III,,,,,,,,,,
1532780,EQ,green,Vanuatu,2026-04-02T23:22:14,2026-04-02T23:22:14,5.4,278.4,40 thousand in MMI III,,,,,,,,,,
1532751,EQ,green,Indonesia,2026-04-02T21:52:02,2026-04-02T21:52:02,4.6,35.0,1 thousand in MMI II,,,,,,,,,,
1532986,EQ,green,Northern Molucca Sea,2026-04-02T21:44:51,2026-04-02T21:44:51,4.6,15.7,,,,,,,,,,,
1532733,EQ,green,South Sandwich Islands Region,2026-04-02T20:22:28,2026-04-02T20:22:28,4.9,10.0,,,,,,,,,,,
1532988,EQ,green,West Chile Rise,2026-04-02T19:52:12,2026-04-02T19:52:12,4.6,10.0,,,,,,,,,,,
1532721,EQ,green,Indonesia,2026-04-02T19:31:36,2026-04-02T19:31:36,4.9,35.0,Few people affected in MMI -,,,,,,,,,,
1532714,EQ,green,Indonesia,2026-04-02T19:08:02,2026-04-02T19:08:02,4.9,35.0,2 thousand in MMI III,,,,,,,,,,
1532710,EQ,green,Indonesia,2026-04-02T18:46:11,2026-04-02T18:46:11,5.0,35.0,50 thousand in MMI III,,,,,,,,,,
1532691,EQ,green,Indonesia,2026-04-02T17:47:13,2026-04-02T17:47:13,4.5,35.0,Few people affected in MMI -,,,,,,,,,,
1532663,EQ,green,Indonesia,2026-04-02T16:10:26,2026-04-02T16:10:26,5.1,35.0,2 thousand in MMI III,,,,,,,,,,
1532648,EQ,green,Indonesia,2026-04-02T15:36:36,2026-04-02T15:36:36,5.3,33.8,10 thousand in MMI>=V,,,,,,,,,,
1532644,EQ,green,Indonesia,2026-04-02T15:34:23,2026-04-02T15:34:23,5.1,10.0,2 thousand in MMI>=II,,,,,,,,,,
1532627,EQ,green,Indonesia,2026-04-02T14:34:59,2026-04-02T14:34:59,5.8,35.0,,,,,,,,,,,
1532613,EQ,green,Indonesia,2026-04-02T14:13:49,2026-04-02T14:13:49,5.9,35.0,Few people affected in MMI -,,,,,,,,,,
1532588,EQ,green,Northern Molucca Sea,2026-04-02T13:03:04,2026-04-02T13:03:04,4.9,35.0,,,,,,,,,,,
1532583,EQ,green,Indonesia,2026-04-02T12:46:15,2026-04-02T12:46:15,4.5,35.0,30 thousand in MMI II,,,,,,,,,,
1532587,EQ,green,Indonesia,2026-04-02T12:33:16,2026-04-02T12:33:16,4.7,35.0,60 thousand in MMI III,,,,,,,,,,
1532573,EQ,green,British Virgin Is.,2026-04-02T12:09:32,2026-04-02T12:09:32,4.5,35.0,80 thousand in MMI III,,,,,,,,,,
1532567,EQ,green,Indonesia,2026-04-02T11:35:35,2026-04-02T11:35:35,5.2,35.0,Few people affected in MMI -,,,,,,,,,,
1532566,EQ,green,Indonesia,2026-04-02T11:18:42,2026-04-02T11:18:42,4.9,35.0,Few people affected in MMI -,,,,,,,,,,
1532548,EQ,green,Northern Molucca Sea,2026-04-02T10:21:30,2026-04-02T10:21:30,4.8,35.0,,,,,,,,,,,
1532552,EQ,green,"Eastern Siberia, Russia",2026-04-02T10:21:24,2026-04-02T10:21:24,4.8,9.8,,,,,,,,,,,
1532546,EQ,green,Indonesia,2026-04-02T10:10:21,2026-04-02T10:10:21,4.8,35.0,1 thousand in MMI III,,,,,,,,,,
1532526,EQ,green,Indonesia,2026-04-02T09:05:54,2026-04-02T09:05:54,4.6,35.0,260 thousand in MMI>=II,,,,,,,,,,
1532536,EQ,green,Indonesia,2026-04-02T09:02:22,2026-04-02T09:02:22,4.6,35.0,2 thousand in MMI>=II,,,,,,,,,,
1532523,EQ,green,Northern Molucca Sea,2026-04-02T08:52:06,2026-04-02T08:52:06,5.1,35.0,,,,,,,,,,,
1532521,EQ,green,United States,2026-04-02T08:41:25,2026-04-02T08:41:25,4.87,10.9,40 thousand in MMI>=V,,,,,,,,,,
1532522,EQ,green,Indonesia,2026-04-02T08:38:59,2026-04-02T08:38:59,5.1,35.0,Few people affected in MMI -,,,,,,,,,,
1532505,EQ,green,China,2026-04-02T07:39:11,2026-04-02T07:39:11,5.2,10.0,1 thousand in MMI>=V,,,,,,,,,,
1532486,EQ,green,Indonesia,2026-04-02T07:15:55,2026-04-02T07:15:55,4.6,35.0,50 thousand in MMI>=II,,,,,,,,,,
1532483,EQ,green,Indonesia,2026-04-02T07:04:14,2026-04-02T07:04:14,5.2,35.0,50 thousand in MMI III,,,,,,,,,,
1532477,EQ,green,Northern Molucca Sea,2026-04-02T06:51:35,2026-04-02T06:51:35,4.6,35.0,,,,,,,,,,,
1532500,EQ,green,Indonesia,2026-04-02T06:42:45,2026-04-02T06:42:45,4.5,50.7,2.8 million in MMI III,,,,,,,,,,
1532464,EQ,green,Mariana Islands,2026-04-02T06:13:40,2026-04-02T06:13:40,5.3,54.0,,,,,,,,,,,
1532454,EQ,green,Northern Molucca Sea,2026-04-02T05:41:41,2026-04-02T05:41:41,5.0,35.0,,,,,,,,,,,
1532449,EQ,green,Indonesia,2026-04-02T05:37:23,2026-04-02T05:37:23,5.1,35.0,260 thousand in MMI III,,,,,,,,,,
1532404,EQ,green,Indonesia,2026-04-02T03:49:33,2026-04-02T03:49:33,4.7,35.0,110 thousand in MMI III,,,,,,,,,,
1532396,EQ,green,Indonesia,2026-04-02T03:23:53,2026-04-02T03:23:53,5.9,35.0,20 thousand in MMI IV,,,,,,,,,,
1532394,EQ,green,Indonesia,2026-04-02T03:17:53,2026-04-02T03:17:53,5.7,35.0,,,,,,,,,,,
1532397,EQ,green,Indonesia,2026-04-02T03:14:37,2026-04-02T03:14:37,5.0,35.0,260 thousand in MMI III,,,,,,,,,,
1532381,EQ,green,Northern Molucca Sea,2026-04-02T02:31:39,2026-04-02T02:31:39,4.6,35.0,,,,,,,,,,,
1532375,EQ,green,Indonesia,2026-04-02T02:23:42,2026-04-02T02:23:42,4.9,35.0,2 thousand in MMI III,,,,,,,,,,
1532378,EQ,green,Indonesia,2026-04-02T02:22:09,2026-04-02T02:22:09,4.8,35.0,Few people affected in MMI -,,,,,,,,,,
1532374,EQ,green,Indonesia,2026-04-02T02:10:57,2026-04-02T02:10:57,5.2,35.0,10 thousand in MMI III,,,,,,,,,,
1532371,EQ,green,Indonesia,2026-04-02T01:57:15,2026-04-02T01:57:15,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1532356,EQ,green,Indonesia,2026-04-02T01:29:20,2026-04-02T01:29:20,4.5,35.0,40 thousand in MMI>=II,,,,,,,,,,
1532347,EQ,green,Japan,2026-04-02T00:52:52,2026-04-02T00:52:52,5.0,66.6,1.8 million in MMI IV,,,,,,,,,,
1532342,EQ,green,Indonesia,2026-04-02T00:36:03,2026-04-02T00:36:03,4.7,35.0,2 thousand in MMI>=II,,,,,,,,,,
1532337,EQ,green,Indonesia,2026-04-02T00:15:19,2026-04-02T00:15:19,5.1,35.0,Few people affected in MMI -,,,,,,,,,,
1532333,EQ,green,Northern Molucca Sea,2026-04-01T23:54:59,2026-04-01T23:54:59,5.1,35.0,,,,,,,,,,,
1532334,EQ,green,Fiji,2026-04-01T23:44:34,2026-04-01T23:44:34,4.9,580.9,Few people affected in MMI>=-,,,,,,,,,,
1532322,EQ,green,Indonesia,2026-04-01T23:13:29,2026-04-01T23:13:29,5.4,35.0,,,,,,,,,,,
1532320,EQ,green,Indonesia,2026-04-01T23:07:23,2026-04-01T23:07:23,5.5,35.0,30 thousand in MMI III,,,,,,,,,,
1532317,EQ,green,Indonesia,2026-04-01T22:48:13,2026-04-01T22:48:13,7.8,10.0,20 thousand in MMI VI,,,,,,,,,,
1532302,EQ,green,Argentina,2026-04-01T21:09:47,2026-04-01T21:09:47,4.6,290.8,110 thousand in MMI I,,,,,,,,,,
1532303,EQ,green,Solomon Islands,2026-04-01T21:01:39,2026-04-01T21:01:39,4.9,91.1,20 thousand in MMI IV,,,,,,,,,,
1532293,EQ,green,Chile,2026-04-01T19:05:40,2026-04-01T19:05:40,4.5,130.8,150 thousand in MMI>=II,,,,,,,,,,
1532276,EQ,green,Greece,2026-04-01T17:11:34,2026-04-01T17:11:34,4.6,56.8,7 thousand in MMI III,,,,,,,,,,
1532283,EQ,green,Mexico,2026-04-01T14:02:25,2026-04-01T14:02:25,4.5,10.0,10 thousand in MMI>=IV,,,,,,,,,,
1532235,EQ,green,Solomon Islands,2026-04-01T13:13:27,2026-04-01T13:13:27,4.7,91.9,3 thousand in MMI IV,,,,,,,,,,
1532218,EQ,green,Indonesia,2026-04-01T12:14:00,2026-04-01T12:14:00,5.1,10.0,10 thousand in MMI IV,,,,,,,,,,
1532211,EQ,green,Peru,2026-04-01T11:20:25,2026-04-01T11:20:25,6.0,108.8,440 thousand in MMI IV,,,,,,,,,,
1532188,EQ,green,Western Indian-Antarctic Ridge,2026-04-01T08:42:56,2026-04-01T08:42:56,4.8,10.0,,,,,,,,,,,
1532169,EQ,green,Fiji Islands Region,2026-04-01T06:08:26,2026-04-01T06:08:26,5.7,576.0,,,,,,,,,,,
1532162,EQ,green,Kermadec Islands Region,2026-04-01T04:54:56,2026-04-01T04:54:56,4.6,338.4,,,,,,,,,,,
1532118,EQ,green,Japan,2026-04-01T01:06:18,2026-04-01T01:06:18,4.9,63.1,26.9 million in MMI IV,,,,,,,,,,
1532114,EQ,green,South Of Fiji Islands,2026-03-31T23:29:47,2026-03-31T23:29:47,4.5,562.7,Few people affected in MMI -,,,,,,,,,,
1532095,EQ,green,Santa Cruz Islands Region,2026-03-31T21:56:33,2026-03-31T21:56:33,5.1,642.2,Few people affected in MMI -,,,,,,,,,,
1532087,EQ,green,British Virgin Is.,2026-03-31T21:15:38,2026-03-31T21:15:38,4.9,19.9,50 thousand in MMI III,,,,,,,,,,
1532072,EQ,green,"Kermadec Islands, New Zealand",2026-03-31T19:24:50,2026-03-31T19:24:50,5.7,143.4,,,,,,,,,,,
1532066,EQ,green,Fiji,2026-03-31T17:09:03,2026-03-31T17:09:03,4.8,555.8,1 thousand in MMI I,,,,,,,,,,
1532056,EQ,green,Japan,2026-03-31T15:38:48,2026-03-31T15:38:48,4.5,116.4,70 thousand in MMI III,,,,,,,,,,
1532030,EQ,green,British Virgin Is.,2026-03-31T12:38:49,2026-03-31T12:38:49,4.6,10.0,Few people affected in MMI -,,,,,,,,,,
1532020,EQ,green,Indonesia,2026-03-31T11:14:24,2026-03-31T11:14:24,5.1,549.5,70 thousand in MMI I,,,,,,,,,,
1532007,EQ,green,Vanuatu,2026-03-31T10:03:48,2026-03-31T10:03:48,4.9,63.7,30 thousand in MMI IV,,,,,,,,,,
1532016,EQ,green,Fiji,2026-03-31T09:32:56,2026-03-31T09:32:56,4.6,537.2,1 thousand in MMI I,,,,,,,,,,
1532000,EQ,green,British Virgin Is.,2026-03-31T09:22:37,2026-03-31T09:22:37,4.8,10.0,6 thousand in MMI>=II,,,,,,,,,,
1531981,EQ,green,Kazakhstan,2026-03-31T06:11:59,2026-03-31T06:11:59,4.7,10.0,10 thousand in MMI>=IV,,,,,,,,,,
1531965,EQ,green,Indonesia,2026-03-31T03:37:55,2026-03-31T03:37:55,4.7,53.9,70 thousand in MMI III,,,,,,,,,,
1531963,EQ,green,Papua New Guinea,2026-03-31T03:15:19,2026-03-31T03:15:19,4.6,10.0,Few people affected in MMI>=II,,,,,,,,,,
1531961,EQ,green,South Sandwich Islands Region,2026-03-31T03:12:14,2026-03-31T03:12:14,4.9,10.0,,,,,,,,,,,
1531907,EQ,green,Vanuatu,2026-03-30T19:50:27,2026-03-30T19:50:27,4.8,85.1,3 thousand in MMI IV,,,,,,,,,,
1531889,EQ,green,"Kermadec Islands, New Zealand",2026-03-30T15:22:34,2026-03-30T15:22:34,4.7,55.2,,,,,,,,,,,
1531880,EQ,green,Northern Mid-Atlantic Ridge,2026-03-30T14:43:32,2026-03-30T14:43:32,5.3,10.0,,,,,,,,,,,
1531879,EQ,green,Tonga,2026-03-30T14:34:20,2026-03-30T14:34:20,4.6,193.1,Few people affected in MMI -,,,,,,,,,,
1531876,EQ,green,Argentina,2026-03-30T14:26:30,2026-03-30T14:26:30,4.5,206.0,5 thousand in MMI II,,,,,,,,,,
1531841,EQ,green,Western Indian-Antarctic Ridge,2026-03-30T10:14:19,2026-03-30T10:14:19,5.1,10.0,,,,,,,,,,,
1531839,EQ,green,Puerto Rico,2026-03-30T09:19:31,2026-03-30T09:19:31,4.5,10.0,750 thousand in MMI III,,,,,,,,,,
1531838,EQ,green,Vanuatu,2026-03-30T09:02:32,2026-03-30T09:02:32,5.0,149.0,100 thousand in MMI III,,,,,,,,,,
1531826,EQ,green,Vanuatu,2026-03-30T08:44:08,2026-03-30T08:44:08,7.2,87.5,90 thousand (in MMI>=VII),,,,,,,,,,
1531819,EQ,green,Japan,2026-03-30T07:46:59,2026-03-30T07:46:59,4.5,35.4,130 thousand in MMI II,,,,,,,,,,
1531816,EQ,green,Nicaragua,2026-03-30T07:30:28,2026-03-30T07:30:28,5.4,57.5,2.1 million in MMI IV,,,,,,,,,,
1531805,EQ,green,El Salvador,2026-03-30T05:15:27,2026-03-30T05:15:27,4.6,31.2,310 thousand in MMI III,,,,,,,,,,
1531795,EQ,green,Japan,2026-03-30T04:04:11,2026-03-30T04:04:11,4.7,10.0,20 thousand in MMI III,,,,,,,,,,
1531792,EQ,green,Indonesia,2026-03-30T04:00:23,2026-03-30T04:00:23,4.9,149.3,60 thousand in MMI III,,,,,,,,,,
1531790,EQ,green,Japan,2026-03-30T03:31:18,2026-03-30T03:31:18,4.7,10.0,10 thousand in MMI III,,,,,,,,,,
1531783,EQ,green,Japan,2026-03-30T02:12:44,2026-03-30T02:12:44,4.6,10.0,260 thousand in MMI>=II,,,,,,,,,,
1531763,EQ,green,Japan,2026-03-30T01:12:30,2026-03-30T01:12:30,5.1,10.0,260 thousand in MMI III,,,,,,,,,,
1531758,EQ,green,Tonga,2026-03-29T23:45:14,2026-03-29T23:45:14,5.2,40.0,1 thousand in MMI III,,,,,,,,,,
1531726,EQ,green,"South Of Java, Indonesia",2026-03-29T18:46:50,2026-03-29T18:46:50,4.6,10.0,,,,,,,,,,,
1531721,EQ,green,Papua New Guinea,2026-03-29T18:09:56,2026-03-29T18:09:56,5.4,65.0,20 thousand in MMI IV,,,,,,,,,,
1531699,EQ,green,Northern Mariana Is.,2026-03-29T15:06:26,2026-03-29T15:06:26,4.5,93.1,160 thousand in MMI III,,,,,,,,,,
1531633,EQ,green,Japan,2026-03-29T07:07:55,2026-03-29T07:07:55,5.1,10.0,40 thousand in MMI III,,,,,,,,,,
1531609,EQ,green,Taiwan,2026-03-29T03:12:17,2026-03-29T03:12:17,4.6,10.0,180 thousand in MMI IV,,,,,,,,,,
1531608,EQ,green,Greece,2026-03-29T03:01:58,2026-03-29T03:01:58,4.5,36.2,30 thousand in MMI IV,,,,,,,,,,
1531576,EQ,green,Mozambique Channel,2026-03-28T21:48:37,2026-03-28T21:48:37,4.5,10.0,,,,,,,,,,,
1531557,EQ,green,Indonesia,2026-03-28T18:38:29,2026-03-28T18:38:29,5.9,169.0,90 thousand in MMI IV,,,,,,,,,,
1531539,EQ,green,Off East Coast Of Kamchatka,2026-03-28T15:59:08,2026-03-28T15:59:08,4.7,10.0,,,,,,,,,,,
1531527,EQ,green,Mexico,2026-03-28T15:02:10,2026-03-28T15:02:10,4.9,10.0,10 thousand in MMI V,,,,,,,,,,
1531511,EQ,green,Mexico,2026-03-28T12:57:53,2026-03-28T12:57:53,5.1,10.0,4 thousand in MMI V,,,,,,,,,,
1531509,EQ,green,Mexico,2026-03-28T12:29:16,2026-03-28T12:29:16,4.7,10.0,2 thousand in MMI V,,,,,,,,,,
1531566,EQ,green,"Andaman Islands, India Region",2026-03-28T11:52:23,2026-03-28T11:52:23,4.6,10.0,,,,,,,,,,,
1531497,EQ,green,Tonga,2026-03-28T10:16:55,2026-03-28T10:16:55,4.8,10.0,1 thousand in MMI III,,,,,,,,,,
1531825,EQ,green,Fiji Islands Region,2026-03-28T08:51:01,2026-03-28T08:51:01,4.7,10.0,,,,,,,,,,,
1531481,EQ,green,Indonesia,2026-03-28T07:35:41,2026-03-28T07:35:41,5.4,10.0,1 thousand in MMI VI,,,,,,,,,,
1531476,EQ,green,Mexico,2026-03-28T06:29:14,2026-03-28T06:29:14,4.7,10.0,2 thousand in MMI IV,,,,,,,,,,
1531821,EQ,green,Japan,2026-03-28T05:34:15,2026-03-28T05:34:15,4.7,10.0,10 thousand in MMI IV,,,,,,,,,,
1531465,EQ,green,Mexico,2026-03-28T04:27:07,2026-03-28T04:27:07,4.6,35.0,590 thousand in MMI III,,,,,,,,,,
1531459,EQ,green,Philippines,2026-03-28T03:33:57,2026-03-28T03:33:57,5.1,203.0,2.2 million in MMI III,,,,,,,,,,
1531436,EQ,green,Pakistan,2026-03-28T01:20:01,2026-03-28T01:20:01,4.5,10.0,50 thousand in MMI V,,,,,,,,,,
1531429,EQ,green,American Samoa,2026-03-27T23:35:09,2026-03-27T23:35:09,5.4,10.0,,,,,,,,,,,
